recipe_name,diet,prep_time_mins,cook_time_mins,course,cuisine,translated_ingredients,url
Mamidikaya Pappu Recipe - Andhra Pappu - Raw Mango Dal,High Protein Vegetarian,15,25,Side Dish,Andhra,"1 cup Arhar dal (Split Toor Dal),1 Mango (Raw) - peeled and chopped,1 tablespoon Turmeric powder (Haldi),1 Onion - finely chopped,1 Tomato - finely chopped,4 cloves Garlic,3 Dry Red Chillies,1 tablespoon Mustard seeds,10 Curry leaves",http://www.archanaskitchen.com/mamidikaya-pappu-recipe-raw-mango-dal
Easy Creamy Chicken Curry Recipe,Non Vegeterian,2,40,Lunch,North Indian Recipes,"500 grams chicken - with bone, 2 cups yogurt, 1 tbsp lemon juice, salt - as per taste, 1 inch ginger - finely chopped, 8 cloves garlic - finely chopped, 1 tsp black pepper powder, 1 tsp Kasuri methi, 1/2 cup cream, 1 tbsp oil",https://www.archanaskitchen.com/easy-creamy-chicken-curry-recipe-in-hindi
Pumpkin Thoran Recipe - South Indian Pumpkin Sabzi,Vegetarian,10,15,Side Dish,Indian,"500 grams Kaddu (Parangikai/ Pumpkin) - diced,15 Pearl onions (Sambar Onions) - finely chopped,1 teaspoon Mustard seeds,2 sprig Curry leaves,2 Green Chilli - slit,Salt - to taste,1 teaspoon Turmeric powder (Haldi),1/2 cup Fresh coconut - grated,1 sprig Curry leaves,1 teaspoon Cumin seeds (Jeera),1 Green Chilli",https://www.archanaskitchen.com/kaddu-ki-sabzi-recipe-pumpkin-thoran
Potato Vindaloo Recipe,Vegetarian,10,30,Lunch,Goan Recipes,"12 Dry Kashmiri Peppers - Soak the seeds out in hot water for 1/2 hour, 1/4 teaspoon fenugreek seeds - roast, 7 cloves garlic, 4 small onions - peeled, 1/2 teaspoon cumin seeds, 1 / 4 tsp turmeric powder, 2 tsp vinegar, 1/3 cup water - as per use, 3 potatoes - washed, salt - as per taste, 2 tbsp oil, 1 tsp rye, 10 curry leaves, water - as per use, 1/2 teaspoon sugar",http://www.archanaskitchen.com/potato-vindaloo-recipe-spicy-goan-potato-curry-in-hindi
Green Chutney Recipe - Coriander Mint Chutney Recipe,Vegetarian,10,20,Side Dish,North Indian Recipes,"1 cup Coriander (Dhania) Leaves -  chopped,1 cup Mint Leaves (Pudina) -  chopped,1/4 cup Curry leaves,1/4 cup Roasted Peanuts (Moongphali) - or almonds,1 inch Ginger - chopped,2 Green Chillies - roughly chopped,1 teaspoons Sugar,1 Lemon juice - juiced,Salt - to taste,1/4 cup Water",https://www.archanaskitchen.com/green-chutney-recipe-coriander-mint-chutney-recipe
Panchmel Dal Recipe | Rajasthani Dal | Panchkuti Dal,High Protein Vegetarian,10,30,Lunch,Rajasthani,"1/4 cup Arhar dal (Split Toor Dal),1/4 cup Masoor Dal (Whole),1/4 cup Chana dal (Bengal Gram Dal),1/4 cup Black Urad Dal (Whole),1/4 cup Green Moong Dal (Whole),2 tablespoons Ghee,1 teaspoon Cumin seeds (Jeera),1 Onion - finely chopped,4 cloves Garlic - finely chopped,1 inch Ginger - finely chopped,2 Green Chillies - slit vertically,1 Bay leaves (tej patta),1 inch Cinnamon Stick (Dalchini) - broken,1 Tomato - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,1/4 teaspoon Asafoetida (hing),Salt - as required,1 Lemon - juice extracted,1 tablespoon Ghee,1 teaspoon Cumin seeds (Jeera),2 Dry Red Chillies - broken",https://www.archanaskitchen.com/panchkuti-panchmel-dal-rajasthani-five-dal-recipe
Garlic Mint Chutney Recipe,Vegetarian,10,30,Side Dish,North Indian Recipes,"2 cups Mint Leaves (Pudina) - chopped,3 cloves Garlic,1 inch Ginger - roughly chopped,1 Green Chilli - chopped,1 tablespoon Raw Peanuts (Moongphali),Salt - to taste,1 teaspoon Sugar,3/4 teaspoon Lemon juice",https://www.archanaskitchen.com/lehsuni-pudina-chutney-recipe
Chicken Vindaloo Recipe,Non Vegeterian,10,30,Lunch,Goan Recipes,"500 grams Chicken,2 Onions - finely chopped,4 Dry Red Chillies,7 cloves Garlic,1 inch Ginger,1/4 cup White wine vinegar,1 teaspoon Mustard seeds,Sunflower Oil - as required,Salt - to taste,4 Cloves (Laung),3 Cardamom (Elaichi) Pods/Seeds,1 teaspoon Cinnamon Powder (Dalchini),1/2 tablespoon Whole Black Peppercorns,1 tablespoon Cumin seeds (Jeera)",http://www.archanaskitchen.com/chicken-vindaloo-recipe
Sweet Potato & Methi Stuffed Paratha Recipe,Diabetic Friendly,30,60,North Indian Breakfast,North Indian Recipes,"1 cup Whole Wheat Flour,1 tablespoon Sunflower Oil,Salt - to taste,2 Sweet Potato - skin peeled and boiled,1 cup Methi Leaves (Fenugreek Leaves) - chopped,1 teaspoon Cumin seeds (Jeera),1 inch Ginger - chopped,1 Green Chilli - chopped,1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),2 tablespoon Mustard oil,Salt - to taste",https://www.archanaskitchen.com/sweet-potato-methi-stuffed-paratha-recipe
Karela Muthia Recipe - Bitter Gourd Steamed Dumplings,Vegetarian,5,30,Snack,Gujarati Recipes﻿,"3 Karela (Bitter Gourd/ Pavakkai) - peeled and grated,4 tablespoons Gram flour (besan),2 tablespoons Rice flour,2 tablespoons Jowar Flour (Sorghum) - white millet flour,1/2 teaspoon Ginger - grated,1/2 teaspoon Garlic - chopped,1/2 teaspoon Green Chilli Paste,2 pinch Cooking soda,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Cumin powder (Jeera),1/2 teaspoon Garam masala powder,Salt - as required,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Mustard seeds,1 teaspoon Sesame seeds (Til seeds),2 Dry Red Chillies,Sunflower Oil - as required",http://www.archanaskitchen.com/karela-muthia-recipe-bitter-gourd-steamed-dumplings
Pohala Jhola Recipe (Pohala Fish Curry),High Protein Non Vegetarian,10,40,Lunch,Oriya Recipes,"300 grams Pohala fish,1 teaspoon Turmeric powder (Haldi),2 Tomatoes,2 Onions - red ones,4 Green Chillies,8 cloves Garlic,1 teaspoon Cumin powder (Jeera),3 tablespoon Mustard oil,3 cups Water,Salt - as required",http://www.archanaskitchen.com/pohala-jhola-recipe-pohala-fish-curry
Assamese Bilahir Tok Recipe,Vegetarian,10,15,Side Dish,Assamese,"6 Tomatoes - finely chopped,1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1/2 teaspoon Sugar - (adjust if you like more sweetness),Salt - to taste,1 tablespoon Mustard oil,1 teaspoon Panch Phoran Masala,2 Bay leaves (tej patta),1 Dry Red Chilli - halved",http://www.archanaskitchen.com/assamese-bilahir-tok-recipe
Misa Maas Kordoi Tenga Recipe (Shrimp With Star Fruit Curry),Non Vegeterian,5,30,Side Dish,Assamese,"1 cup Star fruit - cut into small pieces,10 Shrimps - peeled and deveined,1/2 cup Tomato - crushed,1 teaspoon Garlic - crushed,1 Dry Red Chilli,1 teaspoon Turmeric powder (Haldi),1 teaspoon Sugar,1 tablespoon Mustard oil,1 teaspoon Mustard seeds,Salt - to taste",https://www.archanaskitchen.com/misa-maas-kordoi-tenga-recipe-shrimp-with-star-fruit-curry
Karnataka Style Menthya Soppu Hesaru Kaalu Palya Recipe,High Protein Vegetarian,10,20,Side Dish,Karnataka,"2 cups Green Moong Sprouts - steamed,1 cup Methi Leaves (Fenugreek Leaves) - roughly chopped,1 Onion - finely chopped,1 Tomato - finely chopped,1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Jaggery - powdered,Coriander (Dhania) Leaves - a few sprigs,2 teaspoons Sunflower Oil,Salt - to taste,4 Shallots - chopped,3 cloves Garlic,1 Dry Red Chilli,1 teaspoon Cumin seeds (Jeera)",http://www.archanaskitchen.com/karnataka-style-menthya-soppu-hesaru-kaalu-palya-recipe
Thayir Vada Recipe (Spicy Fritter Soaked In Sweet Yogurt Recipe),Vegetarian,60,45,Snack,South Indian Recipes,"1/2 cup White Urad Dal (Whole),2 Green Chilli - chopped,1/2 teaspoon Asafoetida (hing),1 inch Ginger - finely chopped,Salt - to taste,2 cups Curd (Dahi / Yogurt),2 teaspoons Sugar,1/4 cup Fresh coconut - grated,Salt - to taste,1/2 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 Dry Red Chilli - halved,1 sprig Curry leaves - finely chopped,Sunflower Oil - for cooking,Boondi - as needed,Coriander (Dhania) Leaves - a few sprigs finely chopped,1/2 teaspoon Red Chilli powder,Boondi - as needed,Coriander (Dhania) Leaves - a few sprigs finely chopped",https://www.archanaskitchen.com/thayir-vada-recipe-spicy-fritter-soked-in-sweet-yogurt-recipe
Paneer Methi Paratha Recipe,High Protein Vegetarian,10,40,North Indian Breakfast,North Indian Recipes,"2 cups Whole Wheat Flour,1/2 teaspoon Salt,1 teaspoon Sunflower Oil,1 cup Paneer (Homemade Cottage Cheese) - crumbled,1 teaspoon Cumin powder (Jeera) - roasted and ground,2 Green Chillies - finely chopped,1 Onion - finely chopped,1/2 cup Methi Leaves (Fenugreek Leaves) - finely chopped,Salt - to taste",http://www.archanaskitchen.com/paneer-methi-paratha-recipe
Pahari Style Phanu Recipe - Pahadi Style Phanu Recipe,High Protein Vegetarian,120,35,Lunch,Uttarakhand-North Kumaon,"1 cup arhar dal - soak in water for 2 hours, 1/2 cup urad dal - soak in water for 2 hours, 1 tomato - finely chopped, 1 inch ginger - finely chopped, 4 cloves garlic - finely Cut, 1 tsp turmeric powder, asafetida - a pinch, 1/2 inch ginger - finely chopped, 2 cloves garlic - finely chopped, 1 tsp cumin seeds, 1 green chilli - straight and sinuous cut, 1 tsp Mustard oil - for tempering",http://www.archanaskitchen.com/pahari-style-phanu-recipe-delicious-mixed-dal-in-hindi
Gujarati Dhokla Pizza Recipe,High Protein Vegetarian,20,20,Appetizer,Fusion,"1 cup Rice,1 cup White Urad Dal (Whole),1 cup Chana dal (Bengal Gram Dal),3 Green Chillies - chopped,1 inch Ginger - chopped,1/2 cup Curd (Dahi / Yogurt),Salt to taste,1 Carrot (Gajjar) - grated,1/4 cup Mint Leaves (Pudina),3 Onions - thinly sliced,2 Green Bell Pepper (Capsicum) - thinly sliced,3 tablespoon Britannia Cheezza - grated,2 tablespoon Tomato Basil Pasta Sauce,2 tablespoons Sweet corn,2 Black olives - sliced",http://www.archanaskitchen.com/gujarati-dhokla-pizza-recipe
Chanar Dalna (Recipe In Hindi),Vegetarian,15,60,Lunch,Bengali Recipes,"200 g Paneer - Chop, 2 Potatoes - Peel and chop, 2 bay leaves, 2 dry red chillies, 1 tablespoon Panch Four Masala - make a powder, 1 tomato, 1 teaspoon turmeric powder, 1 teaspoon red chilli Powder, 1 teaspoon Cumin seeds - make a powder, 1 teaspoon Ginger - Tighten, Salt - according to taste, 1/2 teaspoon sugar, oil - as per use",https://www.archanaskitchen.com/chanar-dalna-recipe-in-hindi
Avarekalu Payasa Recipe - Broad Beans Payasa,Vegetarian,10,15,Dessert,Karnataka,"1/2 cup Avarekalu / Lilva Beans,1/3 cup Fresh coconut,3 teaspoons Poppy seeds,1/3 cup Jaggery,Salt - a pinch,3 cloves Cardamom (Elaichi) Pods/Seeds,2 teaspoon Ghee,10 Cashew nuts,10 Raisins",http://www.archanaskitchen.com/avarekalu-payasa-recipe-broad-beans-pudding
Kerala Style Eggplant Curry Recipe,Vegetarian,15,35,Lunch,Kerala Recipes,"2 Brinjal (Baingan / Eggplant) - finely chopped (use the regular small eggplant and not the ones used for baingan bhartha),1/4 teaspoon Mustard seeds,1 Onion - finely chopped,1 to 2 Green Chillies - slit lengthwise (use as per spice tolerance) 1/2 tablespoon kashmiri chili powder (use as per spice tolerance),1 pinch Turmeric powder (Haldi),1/2 tablespoon Coriander Powder (Dhania),1/2 teaspoon Fennel seeds (Saunf) - in case you don't have fennel seeds you could use cumin seeds,1/2 teaspoon Methi Seeds (Fenugreek Seeds) - grounded,1 Tomatoes - finely chopped,1/2 cup Coconut milk - thick,Coconut Oil - or vegetable oil as required,2 sprig Curry leaves,3 sprig Coriander (Dhania) Leaves - finely chopped (optional)",https://www.archanaskitchen.com/kerala-style-eggplant-curry-recipe
Strawberry Raita (Recipe In Hindi),Vegetarian,15,15,Side Dish,Indian,"150 grams of strawberries, 1-1 / 2 cup yogurt, 1 onion - finely chopped, 1 green chili - finely chopped, 2 tablespoons sugar, 2 teaspoons cumin powder, salt - as per taste, 1 teaspoon pepper powder, Coriander - little, strawberry - little",https://www.archanaskitchen.com/strawberry-raita-recipe-in-hindi
Amritsari Ajwaini Paneer (Recipe In Hindi),Vegetarian,20,40,Side Dish,North Indian Recipes,"1 cup cup cheese, 1 cup tomato puree, 1 onion - finely chopped, 2 cloves garlic, 1 green chili, 1 inch ginger, 5 cashews, 2 long, 1 teaspoon celery, 1 teaspoon garam masala powder, 1 teaspoon turmeric Powder, 1-1 / 2 teaspoon coriander powder, 1/2 teaspoon red chilli powder, 1/2 teaspoon sugar, salt, 1 tablespoon oil, coriander - chopped",http://www.archanaskitchen.com/amritsari-ajwaini-paneer-recipe-in-hindi
"Rava Upma Recipe With Peanuts, Peas & Corn",Diabetic Friendly,10,20,South Indian Breakfast,South Indian Recipes,"1 cup semolina, 1/2 teaspoon mustard, 1 tablespoon ghee, 2 tablespoons peanuts, 1/2 teaspoon cumin seeds, 1 onion - chopped, 1 teaspoon ginger - grated, asafetida - a pinch, 1 teaspoon White urad dal, 2 green chillies - cut, 2 sprig curry leaves, 1 carrot - chop, 1/2 capsicum (green) - cut, 1 tomato - chopped, 2 green peas, 1 teaspoon green coriander - Cut it, 1 tablespoon sweet corn, 1 tablespoon lemon juice, salt - as per taste, red chili powder - pinch, coriander powder - pinch, pomegranate - little",https://www.archanaskitchen.com/rava-upma-recipe-with-peanuts-peas-corn-in-hindi
Tamil Nadu Style Kothamali Aval Upma Recipe - Coriander Poha Recipe,Vegetarian,10,15,South Indian Breakfast,Tamil Nadu,"2 cups Poha (Flattened rice),1/4 teaspoon Turmeric powder (Haldi),Salt and Pepper - to taste,1/4 cup Fresh coconut,1/4 cup Coriander (Dhania) Leaves - roughly chopped,2 Green Chillies,1 tablespoon Jaggery,1 tablespoon Lemon juice,1 teaspoon Sunflower Oil,1/2 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),2 sprig Curry leaves - roughly torn",http://www.archanaskitchen.com/tamil-nadu-style-kothamali-aval-upma-recipe-coriander-poha-recipe
Carrot Puree Recipe - First Food For Babies,Vegetarian,5,20,Lunch,Indian,"1 Carrot (Gajjar) - peeled and diced,Water - for steaming",https://www.archanaskitchen.com/carrot-puree-recipe-first-food-for-babies
Cranberry Whole Wheat Naan Recipe,Vegetarian,45,25,Lunch,North Indian Recipes,"2-1/4 cups Whole Wheat Flour - extra for dusting,1-1/2 teaspoons Active dry yeast,1 teaspoon Sugar,100 grams Curd (Dahi / Yogurt),150 ml Lukewarm Water,2 teaspoon Salt,2 tablespoon Sunflower Oil,Ghee - or butter as needed,1/4 cup Prune Spread,100 grams Cranberries,1 teaspoon Black sesame seeds,1 teaspoon Badam (Almond) - flaxes (optional)",https://www.archanaskitchen.com/cranberry-and-prune-chutney-whole-wheat-naan-recipe
Methi Masoor Dal Recipe With Whole Masoor,High Protein Vegetarian,10,30,Lunch,North Indian Recipes,"1 cup Masoor Dal (Whole),200 grams Methi Leaves (Fenugreek Leaves) - cleaned chopped,1/4 teaspoon Asafoetida (hing),1 teaspoon Cumin seeds (Jeera),1 Onion - thinly sliced,1 Tomato - chopped,1 Green Chilli - slit,2 teaspoons Coriander Powder (Dhania),1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,Salt - to taste,1 tablespoon Ghee",http://www.archanaskitchen.com/methi-masoor-dal-recipe
Spinach And Paneer Samosa Recipe With Figaro Pure Olive Oil,Vegetarian,20,40,Snack,Indian,"1 cup Whole Wheat Flour,2 tablespoons Sooji (Semolina/ Rava),2 tablespoons Figaro Pure Olive Oil,1/4 teaspoon Ajwain (Carom seeds),Salt - to taste,Water - to knead,1 cup Spinach - washed and finely chopped,1 cup Paneer (Homemade Cottage Cheese) - crumbled,2 Green Chillies - finely chopped,1/2 teaspoon Garam masala powder,1 teaspoon Chaat Masala Powder,Salt - to taste,Figaro Pure Olive Oil - for deep frying",https://www.archanaskitchen.com/spinach-and-paneer-samosa-recipe-with-figaro-pure-olive-oil
Karnataka Style Badnekayi Mosaru Gojju Recipe,Vegetarian,5,45,Lunch,Karnataka,"1 Brinjal (Baingan / Eggplant),1 cup Hung Curd (Greek Yogurt),2 sprig Coriander (Dhania) Leaves - chopped,1 Green Chilli - chopped,Salt - to taste,1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 teaspoon Chana dal (Bengal Gram Dal),1 teaspoon Asafoetida (hing),2 Dry Red Chilli,1 sprig Curry leaves",https://www.archanaskitchen.com/karnataka-style-badnekayi-mosaru-gojju-recipe
Assamese Poita Bhat With Aloo Pitika Recipe,Gluten Free,5,20,North Indian Breakfast,Assamese,"1 cup Cooked rice - soaked in 2 cups water over night,1/4 cup Curd (Dahi / Yogurt) - or ½ cup buttermilk,2 tablespoon Onions - chopped,2 Green Chillies - finely chopped,Salt - to taste,3 Potatoes (Aloo),1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Mustard oil,2 Green Chillies,Salt - to taste",http://www.archanaskitchen.com/assamese-poita-bhat-with-aloo-pitika-recipe
Lobia Masala (Recipe In Hindi),High Protein Vegetarian,10,35,Lunch,Punjabi,"1 cup cowpea, 1/4 cup tomato puree, 1 teaspoon cumin seeds, 1 inch ginger - peel and tighten, 1 green chili - finely chopped, 1 teaspoon turmeric powder, 1 teaspoon coriander powder, 1 teaspoon red chilli Powder, 1 teaspoon sugar, 1 teaspoon lemon juice - or tamarind water, 1 tablespoon oil, salt - as per taste, coriander leaves - little (for garnish)",https://www.archanaskitchen.com/lobia-masala-recipe-in-hindi
Sindhi Kheerni Recipe - Sindhi Seviyan Kheer,Vegetarian,5,25,Dessert,Sindhi,"1/2 teaspoon Cardamom Powder (Elaichi),50 grams Thin Semiya (Seviyan),1-1/2 liter Milk,Saffron strands - a few,1/2 cup Sugar,4 Badam (Almond) - chopped,4 Pistachios - chopped",https://www.archanaskitchen.com/sindhi-kheerni-recipe-sindhi-seviyan-kheer
Whole Wheat Methi Garlic Naan Recipe  | Oven Method with yeast,Vegetarian,120,20,Dinner,North Indian Recipes,"2 cups Whole Wheat Flour,2 teaspoons Active dry yeast,1 teaspoon Salt,1 teaspoon Sugar,6 cloves Garlic - finely chopped,100 grams Methi Leaves (Fenugreek Leaves) - finely chopped,1/4 cup Curd (Dahi / Yogurt),1 tablespoon Sunflower Oil,Butter - for greasing Naan",http://www.archanaskitchen.com/whole-wheat-methi-garlic-naan-recipe-oven-method-with-yeast
Chicken In Tomato Onion Gravy Recipe,High Protein Non Vegetarian,10,20,Side Dish,Indian,"500 grams Chicken - chopped to bite size,Sunflower Oil - to cook,2 Onions - roughly chopped,2 Green Chillies,3 Tomatoes - deseeded,2 teaspoons Ginger Garlic Paste,1 tablespoon Curd (Dahi / Yogurt),1/2 Lemon - juiced,1 tablespoon Chicken masala,Salt - to taste,Coriander (Dhania) Leaves - chopped",https://www.archanaskitchen.com/chicken-in-tomato-onion-gravy-recipe
Mangalorean Style Bella Metthe Dosa Recipe (Jaggery & Fenugreek Seed Pancakes Recipe),Vegetarian,560,10,Indian Breakfast,Mangalorean,"1 cup Rice,4 tablespoon White Urad Dal (Whole),2 tablespoon Methi Seeds (Fenugreek Seeds),1/2 cup Jaggery - powdered,1 cup Fresh coconut - grated,1/4 Brown Rice - cooked or poha (beaten rice),1 teaspoon Active dry yeast,1 teaspoon Sugar - to taste,Salt - to taste",https://www.archanaskitchen.com/mangalorean-style-bella-metthe-dosa-recipe-jaggery-fenugreek-seed-pancakes-recipe
Hariyali Paneer Tikka Masala Gravy Recipe -No Onion No Garlic Recipe,High Protein Vegetarian,20,25,Lunch,North Indian Recipes,"250 grams Paneer (Homemade Cottage Cheese) - cut into an inch lengthwise,1 teaspoon Fennel seeds (Saunf),2 Green Chillies - finely chopped,50 grams Coriander (Dhania) Leaves - finely chopped,20 grams Mint Leaves (Pudina) - finely chopped,2 Tomatoes - pureed,1 inch Ginger - finely chopped,1 inch Cinnamon Stick (Dalchini),2 Cardamom (Elaichi) Pods/Seeds,1 Bay leaf (tej patta),1/2 teaspoon Garam masala powder,1/2 teaspoon Chaat Masala Powder,1/4 cup Fresh cream,Salt - to taste,1 tablespoon Butter - to cook",https://www.archanaskitchen.com/hariyali-paneer-tikka-masala-gravy-recipe-no-onion-no-garlic-recipe
Chicken Mapas Recipe - Chicken in Coconut Milk Curry,High Protein Non Vegetarian,10,45,Lunch,South Indian Recipes,"500 grams Chicken - cut to bite size,2 Onions - sliced,1 Tomato - chopped,2 Green Chillies - slit,5 cloves Garlic - crushed,1 inch Ginger - crushed,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,Curry leaves - handful,2 cups Coconut milk,2 teaspoon Coconut Oil,Salt - to taste",http://www.archanaskitchen.com/chicken-mapas-recipe-chicken-in-coconut-milk-curry
Gavar Pumpkin Sabji Recipe,Vegetarian,10,20,Lunch,Indian,"1 cup Gawar Phali (Kothavarangai / Cluster beans) - washed strings removed and cut,1 cup Kaddu (Parangikai/ Pumpkin) - peeled and chopped,1 Onion - chopped,5 Garlic - crushed,4 Dry Red Chillies - chopped (or 1 teaspoon red chilli powder),1 teaspoon Methi Seeds (Fenugreek Seeds),1/2 teaspoon Asafoetida (hing),1 teaspoon Fennel seeds (Saunf) - toasted and crushed,1 teaspoon Coriander Powder (Dhania),1 teaspoon Cumin seeds (Jeera),1 teaspoon Mustard seeds,1/2 teaspoon Amchur (Dry Mango Powder),2 teaspoons Roasted Peanuts (Moongphali) - powdered (optional),1/2 teaspoon Turmeric powder (Haldi),Sunflower Oil - as required,Salt - to taste,Coriander (Dhania) Leaves - for garnishing",https://www.archanaskitchen.com/gavar-pumpkin-sabji-recipe
Awadhi Style Sultani Dal Recipe,High Protein Vegetarian,10,30,Dinner,Awadhi,"250 gram Arhar dal (Split Toor Dal) -  250 grams toor dal,500 ml Milk,125 grams Fresh cream,1 cup Curd (Dahi / Yogurt),1 Onion - chopped,1 teaspoon Cumin seeds (Jeera),1 teaspoon Red Chilli powder,2 Green Chillies - slit,4 cloves Garlic - chopped,1 inch Ginger - chopped,2 Cardamom (Elaichi) Pods/Seeds - torn,Ghee - or oil for cooking,Salt - to taste",http://www.archanaskitchen.com/awadhi-style-sultani-dal-recipe
Pomegranate Flavoured Stuffed Khandvi Recipe,Vegetarian,20,30,Snack,Gujarati Recipes﻿,"1/2 cup Gram flour (besan),1/2 cup Curd (Dahi / Yogurt),1 cup Pomegranate juice,1-1/2 teaspoon Red Chilli powder,Salt - to taste.,2 tablespoons Paneer (Homemade Cottage Cheese) - grated,2 tablespoons Fresh coconut - grated,1-2 teaspoons Sugar,1 Green Chilli - chopped,1 tablespoon Coriander (Dhania) Leaves - finely chopped,1/2 teaspoon Sesame seeds (Til seeds),Salt - to taste,1/2 tablespoon Sunflower Oil,1 teaspoon Mustard seeds,Asafoetida (hing) - a pinch,1 Green Chilli - chopped,Coriander (Dhania) Leaves - Few sprigs chopped,Fresh coconut - grated",http://www.archanaskitchen.com/pomegranate-flavoured-stuffed-khandvi-recipe
High Protein Soya Dosa Recipe,High Protein Vegetarian,360,45,South Indian Breakfast,South Indian Recipes,"2 cups Idli Rice,1 cup Soybeans (Whole Soya dal),1-1/4 cups White Urad Dal (Whole),1 teaspoons Methi Seeds (Fenugreek Seeds),1 teaspoon Chana dal (Bengal Gram Dal),4 teaspoons Salt,Water - as required,Ghee - for making the dosa",https://www.archanaskitchen.com/high-protein-soya-dosa-recipe
Doi Bhetki Recipe - Bengali Style Yogurt Fish Curry,High Protein Non Vegetarian,10,60,Dinner,Bengali Recipes,"500 grams Bhetki fish - (asian sea bass),3/4 cup Curd (Dahi / Yogurt),2 Onions,6 Green Chillies,8 cloves Garlic,1 inch Ginger - paste,1 teaspoon Turmeric powder (Haldi),2 teaspoon Cumin powder (Jeera),1 tablespoon Coriander Powder (Dhania),2 teaspoon Red Chilli powder,1 teaspoon Garam masala powder,1 teaspoon Black pepper powder,1 Bay leaf (tej patta),3 Cloves (Laung),2 Cardamom (Elaichi) Pods/Seeds,Mustard oil - for deep frying the fish and 2 tablespoon for the curry,Salt - to taste",http://www.archanaskitchen.com/doi-bhetki-recipe-yogurt-fish-curry
"Ginger, Lemon And Honey Kadha Recipe",High Protein Non Vegetarian,10,0,Vegetarian,Indian,"8 inch Ginger - grated (you will need 5 tablespoons of ginger juice from it),10 tablespoons Honey,5 tablespoons Lemon juice,Water - as required",http://www.archanaskitchen.com/ginger-lemon-honey-kadha-recipe
Maharashtrian Style Gajarachi Koshimbir Recipe -Carrot Salad,Vegetarian,10,20,Side Dish,Maharashtrian Recipes,"3 Carrots (Gajjar) - peeled and chopped into cubes,1 tablespoon Lemon juice,2 tablespoon Fresh coconut - grated,Salt - to taste,2 sprig Coriander (Dhania) Leaves - chopped,1 teaspoon Mustard seeds,1 pinch Asafoetida (hing),1/2 teaspoon Sunflower Oil - for tempering",http://www.archanaskitchen.com/maharashtrian-style-gajrachi-koshimbir-recipe-carrot-salad-recipe
Red Chilli and Tomato Pachadi Recipe,Vegetarian,5,10,Side Dish,South Indian Recipes,"2 tablespoon Sunflower Oil,1/2 tablespoon White Urad Dal (Split),1/2 tablespoon Chana dal (Bengal Gram Dal),8 Fresh Red chillies - chopped,4 Tomatoes - chopped,Salt - to taste,1/2 tablespoon Tamarind Paste,1/2 tablespoon Mustard seeds,1/2 tablespoon Cumin seeds (Jeera),10 Curry leaves",https://www.archanaskitchen.com/red-chilli-and-tomato-pachadi-recipe
Rajasthani Laal Maas Recipe-Mutton In Red Spicy Gravy,Non Vegeterian,10,40,Dinner,Rajasthani,"10 Kashmiri dry red chillies - soaked in water for atleast 20 minutes,500 grams Mutton - cut into 1 inch pieces,1/2 cup Curd (Dahi / Yogurt),1 teaspoon Cumin seeds (Jeera),2 teaspoons Cumin powder (Jeera),2 teaspoons Coriander Powder (Dhania),1/2 teaspoon Turmeric powder (Haldi),2 tablespoons Ginger Garlic Paste,Ghee - as required,2 Brown cardamom (Badi Elaichi),3 Cardamom (Elaichi) Pods/Seeds,1 inch Cinnamon Stick (Dalchini),3 Cloves (Laung),1 Bay leaf (tej patta),3 Onions - finely chopped,1/2 teaspoon Garam masala powder,Salt - to taste,Coriander (Dhania) Leaves - Few sprigs,3 Charcoal - pieces",https://www.archanaskitchen.com/rajasthani-laal-maas-recipe-mutton-in-red-spicy-gravy
Mor Milagai Recipe - South Indian Sun Dried Chillies,Vegetarian,10,0,Side Dish,South Indian Recipes,"100 grams Green Chillies,1 cup Curd (Dahi / Yogurt) - thick,1/4 cup Water,2 tablespoons Salt",http://www.archanaskitchen.com/mor-milagai-recipe-south-indian-sun-dried-chillies
Whole Wheat Spinach Paneer Lifafa Paratha Recipe,Diabetic Friendly,20,45,Lunch,Indian,"2 cups Whole Wheat Flour,1 tablespoon Ghee,Salt - to taste,Ghee - for cooking the parathas,2 teaspoons Corn flour,250 grams Paneer (Homemade Cottage Cheese) - grated,1-1/2 cup Spinach Leaves (Palak) - finely chopped (tightly packed),1 teaspoon Cumin seeds (Jeera),1 teaspoon Cumin powder (Jeera) - (roasted and ground),1/2 teaspoon Chaat Masala Powder,1 Onion - finely chopped,3 Green Chillies - finely chopped,Salt - to taste,1 teaspoon Sunflower Oil",https://www.archanaskitchen.com/whole-wheat-spinach-paneer-lifafa-paratha-recipe
